m,0,1,2,3,4,5,6,7,8,9
2448.656,737.28,897.8,870.8,646.44,683.92,834.28,701.2,870,893.28,752.84
51.024025,-0.090579,-0.03268,-0.02626,-0.120093,-0.095788,-0.107125,-0.014109,-0.11747,0.097572,-0.017296
2455.152,37.709805,37.377002,37.427421,37.190554,38.079211,37.214219,37.504103,36.936551,37.022304,37.232932
51.665896,751.52,913.16,886.08,656.32,697.76,848.16,716.28,883.08,911.36,765.32
2460.9984,-0.029207,-0.03687,-0.050635,-0.135224,-0.056567,-0.079419,0.053642,-0.09561,0.120892,-0.081337
52.311223,38.323887,37.99572,38.002184,37.777262,38.742678,37.808345,38.068321,37.486215,37.59182,37.784048
2466.24,765.36,927.56,900.56,666.6,711.52,860.64,730.4,895.4,928.52,777.84
52.959893,-0.014519,-0.061033,-0.040363,-0.037437,-0.010967,-0.135313,0.029183,-0.089931,0.120577,-0.02701
2470.92,38.883615,38.564111,38.543842,38.337228,39.319329,38.362143,38.604024,38.031347,38.154062,38.31714
53.611798,777.92,940.56,914.2,676.28,724.48,873.8,744.08,907.04,945.12,790.28
2475.08,-0.059772,-0.098349,-0.051666,-0.02947,-0.031249,-0.02642,0.057647,-0.083304,0.150821,0.0462
54.266833,39.417424,39.095398,39.068534,38.904593,39.841992,38.890977,39.130496,38.573583,38.705766,38.855569
2478.76,789.6,952.36,926.96,686.08,736.88,885.8,756.88,917.64,959.2,802.12
54.924897,-0.068279,-0.122416,-0.053628,0.034061,-0.027789,-0.055344,0.044656,-0.106097,0.050087,0.046803
2481.9984,39.961223,39.635216,39.592746,39.469377,40.367085,39.426107,39.658256,39.124299,39.276011,39.41527
55.585891,800.6,964.32,938.56,695.44,747.48,897.12,768.64,928.04,972.28,812.68
2484.832,-0.060905,-0.043965,-0.088352,0.056098,-0.108738,-0.053258,0.024176,-0.059055,0.037265,-0.010266
56.24972,40.50784,40.200166,40.128832,40.028141,40.889245,39.962735,40.197803,39.681923,39.847853,39.973619
2487.296,811.08,976.48,949.36,705.2,757.52,907.68,779.96,937.48,985.4,822.96
56.916294,-0.058789,0.017403,-0.086616,0.173953,-0.103202,-0.053736,0.050948,-0.080322,0.107357,0.025084
2489.424,41.061083,40.768026,40.670125,40.597587,41.419771,40.497406,40.738238,40.257622,40.420708,40.545944
57.585523,820.92,987.4,960.52,713.84,767.92,918.24,790.84,945.92,997.8,833.04
2491.248,-0.061034,-0.016748,0.003756,0.096111,-0.016249,0.032573,0.07517,-0.114154,0.120363,0.086147
58.257323,41.616412,41.340511,41.229815,41.174722,41.951449,41.053517,41.29176,40.849289,40.999455,41.121289
2492.7984,829.72,997.6,970.76,721.88,777.64,928.16,801.16,954.32,1008.56,841.48
58.93161,-0.095882,-0.019608,-0.018214,0.096355,-0.034464,0.022562,0.08159,-0.060927,0.053345,-0.035017
2494.104,42.182471,41.906362,41.782924,41.754433,42.49192,41.633497,41.855517,41.458429,41.586126,41.69572
