m,0,1,2,3,4,5,6,7,8,9
61.65209,81.554286,53.385714,51.96,253.208571,47.74,96.98,160.748571,94.354286,205.16,86.194286
2497.3984,-0.81933,-0.862969,-0.878492,-0.564164,-0.8851,-0.800752,-0.701903,-0.701515,-0.642323,-0.791817
62.337678,43.663681,43.667067,43.549696,43.593774,43.632582,43.696942,43.651294,43.643267,43.717368,43.63922
2497.856,81.965714,53.754286,52.297143,254.797143,48.06,97.5,161.66,95.265714,206.477143,86.797143
63.025317,-0.844146,-0.856996,-0.867372,-0.56879,-0.872044,-0.81882,-0.721696,-0.684474,-0.634156,-0.787405
2498.208,44.260478,44.261132,44.143837,44.183645,44.22444,44.284319,44.242097,44.225614,44.300028,44.224983
63.714942,82.322857,54.068571,52.585714,256.305714,48.385714,98,162.554286,96.12,207.654286,87.337143
2498.472,-0.8533,-0.867592,-0.877321,-0.554645,-0.859151,-0.814504,-0.705245,-0.686597,-0.651996,-0.796219
64.406492,44.859855,44.859758,44.744102,44.780063,44.824653,44.874372,44.835998,44.817222,44.889811,44.8161
2498.664,82.714286,54.414286,52.851429,257.762857,48.625714,98.471429,163.311429,96.845714,208.834286,87.845714
65.099906,-0.826497,-0.842533,-0.878759,-0.534708,-0.887885,-0.809754,-0.73165,-0.711592,-0.624151,-0.790552
2498.7984,45.465011,45.457095,45.346748,45.383732,45.427528,45.469887,45.432491,45.412156,45.487926,45.413605
65.795128,83.048571,54.757143,53.068571,258.957143,48.837143,98.877143,163.991429,97.502857,209.802857,88.265714
2498.888,-0.839289,-0.831404,-0.8946,-0.594499,-0.892234,-0.825234,-0.73679,-0.72066,-0.665763,-0.816912
66.492101,46.072536,46.060396,45.952978,45.992864,46.035806,46.071036,46.03112,46.009425,46.091908,46.016058
2498.944,83.311429,55.085714,53.294286,260.117143,49.068571,99.268571,164.608571,98.14,210.685714,88.66
67.190772,-0.862129,-0.82554,-0.879174,-0.572738,-0.874319,-0.815724,-0.743865,-0.703897,-0.669953,-0.812432
2498.976,46.684179,46.669139,46.563228,46.607572,46.646828,46.678166,46.638371,46.612208,46.698154,46.623769
67.891089,83.56,55.36,53.52,261.205714,49.24,99.645714,165.134286,98.768571,211.422857,89.111429
2498.992,-0.858236,-0.842416,-0.868945,-0.566452,-0.898214,-0.808877,-0.761089,-0.686191,-0.700088,-0.765541
68.593003,47.29956,47.279071,47.180128,47.226533,47.261154,47.289716,47.251372,47.220054,47.306335,47.236434
2498.9984,83.802857,55.605714,53.665714,262.068571,49.422857,99.934286,165.571429,99.351429,212.088571,89.488571
69.296465,-0.848666,-0.845765,-0.909718,-0.622238,-0.88237,-0.839521,-0.785281,-0.684081,-0.708391,-0.786556
2499,47.915792,47.892379,47.801155,47.850612,47.879987,47.906165,47.870372,47.835123,47.922534,47.853223
,84.002857,55.777143,53.851429,262.845714,49.625714,100.194286,165.954286,99.868571,212.748571,89.865714
,-0.863674,-0.882026,-0.872462,-0.628269,-0.855816,-0.84369,-0.794562,-0.690474,-0.680715,-0.769088
,48.534171,48.511576,48.428674,48.478351,48.498924,48.527911,48.49329,48.457882,48.542742,48.474571
,84.157143,55.928571,53.991429,263.52,49.768571,100.454286,166.294286,100.405714,213.351429,90.214286
,-0.885566,-0.88625,-0.893347,-0.639875,-0.88779,-0.826741,-0.801341,-0.651731,-0.687492,-0.762345
,49.157834,49.136348,49.059647,49.108818,49.12541,49.154954,49.119593,49.090928,49.167771,49.10343
,84.291429,56.062857,54.105714,264.051429,49.902857,100.705714,166.6,100.882857,213.877143,90.497143
,-0.888197,-0.888877,-0.908381,-0.685834,-0.884229,-0.819998,-0.802671,-0.657491,-0.701293,-0.794674
,49.786907,49.763571,49.69469,49.740277,49.753504,49.784664,49.749546,49.72739,49.79635,49.736841
,84.391429,56.188571,54.254286,264.585714,50.028571,100.911429,166.828571,101.311429,214.36,90.78
,-0.906832,-0.887152,-0.869251,-0.653153,-0.883518,-0.836657,-0.838384,-0.663052,-0.690552,-0.768082
,50.41725,50.396805,50.335651,50.37638,50.385848,50.418988,50.382945,50.369548,50.429985,50.373508
,84.5,56.297143,54.357143,265.128571,50.134286,101.071429,167.008571,101.722857,214.765714,91.034286
,-0.884997,-0.892336,-0.89876,-0.612987,-0.891753,-0.862279,-0.860333,-0.645198,-0.718479,-0.771701
,51.04878,51.029019,50.981804,51.016113,51.024409,51.056041,51.019205,51.015526,51.061306,51.014176
,84.597143,56.391429,54.445714,265.622857,50.22,101.22,167.157143,102.12,215.097143,91.214286
,-0.887441,-0.894809,-0.903888,-0.613349,-0.90062,-0.857619,-0.871695,-0.624515,-0.745287,-0.821968
,51.687414,51.667819,51.632466,51.658429,51.666622,51.697646,51.660835,51.665364,51.694299,51.659513
,84.665714,56.462857,54.531429,266.097143,50.302857,101.34,167.294286,102.491429,215.388571,91.411429
,-0.911978,-0.9124,-0.897857,-0.596442,-0.893773,-0.872432,-0.86547,-0.610743,-0.747481,-0.781609
,52.329048,52.308827,52.285653,52.303974,52.310874,52.339338,52.30458,52.315533,52.333416,52.308845
,84.728571,56.545714,54.611429,266.511429,50.38,101.442857,167.397143,102.782857,215.651429,91.614286
,-0.907168,-0.884853,-0.894674,-0.601244,-0.88962,-0.876326,-0.888482,-0.660545,-0.748204,-0.755237
,52.971211,52.952575,52.940163,52.952337,52.958066,52.984831,52.950091,52.966773,52.978109,52.959571
,84.782857,56.611429,54.671429,266.797143,50.442857,101.542857,167.502857,103.091429,215.88,91.791429
,-0.907852,-0.897699,-0.910477,-0.693769,-0.898627,-0.869553,-0.873801,-0.599861,-0.750894,-0.761657
,53.615613,53.603697,53.597167,53.607108,53.606761,53.63422,53.601089,53.625221,53.627257,53.612737
,84.822857,56.665714,54.711429,267.037143,50.508571,101.611429,167.574286,103.357143,216.062857,91.957143
,-0.922336,-0.905116,-0.934031,-0.711049,-0.882273,-0.901599,-0.902144,-0.608137,-0.778329,-0.740433
,54.270171,54.258174,54.256619,54.265247,54.258634,54.285717,54.256376,54.286634,54.278851,54.268006
,84.854286,56.717143,54.765714,267.211429,50.574286,101.662857,167.648571,103.565714,216.222857,92.091429
,-0.932023,-0.898097,-0.898631,-0.755437,-0.866984,-0.915486,-0.883163,-0.641556,-0.777756,-0.768957
,54.925428,54.91939,54.920113,54.926026,54.914022,54.943368,54.912421,54.947298,54.935971,54.927982
,84.888571,56.737143,54.802857,267.345714,50.631429,101.72,167.7,103.748571,216.371429,92.205714
,-0.915276,-0.955211,-0.920705,-0.783205,-0.868055,-0.88927,-0.908071,-0.641906,-0.776533,-0.773132
,55.581686,55.581278,55.584168,55.588223,55.572898,55.602803,55.571828,55.608828,55.597062,55.589958
,84.911429,56.78,54.825714,267.48,50.671429,101.765714,167.742857,103.957143,216.477143,92.32
,-0.936931,-0.891219,-0.944137,-0.756868,-0.896463,-0.904536,-0.912779,-0.534688,-0.819935,-0.734743
,56.245456,56.248886,56.250854,56.253493,56.236854,56.267802,56.235348,56.270028,56.26431,56.257961
,84.922857,56.825714,54.84,267.588571,50.711429,101.802857,167.774286,104.157143,216.56,92.411429
,-0.962862,-0.864254,-0.961323,-0.775589,-0.882052,-0.909099,-0.924375,-0.452894,-0.837939,-0.764247
,56.910797,56.915974,56.918516,56.923469,56.904959,56.932093,56.899491,56.929386,56.933836,56.922969
,84.934286,56.851429,54.88,267.677143,50.748571,101.84,167.8,104.325714,216.637143,92.494286
,-0.956461,-0.912666,-0.871971,-0.781905,-0.869908,-0.89549,-0.926379,-0.477136,-0.829932,-0.746268
,57.582304,57.587486,57.58894,57.594212,57.576069,57.600586,57.569452,57.591557,57.605443,57.589034
,84.937143,56.871429,54.894286,267.765714,50.771429,101.877143,167.834286,104.488571,216.691429,92.577143
,-0.987341,-0.922247,-0.945276,-0.766472,-0.90518,-0.87603,-0.891341,-0.390687,-0.853797,-0.707233
,58.25717,58.262549,58.264796,58.267984,58.246311,58.272377,58.243932,58.252353,58.277348,58.256663
